20170317-1103,98.97%
20170317-1355,98.97%
20170318-1816,98.71%
20170318-2047,98.97%
20170319-1858,98.71%
20170320-1059,98.71%
20170321-1421,98.71%
20170322-2205,98.97%
20170325-1048,97.93%
20170326-1835,97.93%
20170327-1841,98.45%
20170328-0146,98.45%
20170330-0024,98.97%
20170330-1506,98.71%
20170331-1740,98.71%
20170404-1659,87.86%
20170405-2322,87.86%
20170407-0113,98.97%
20170410-1705,98.45%
20170411-1430,98.71%
20170413-1059,98.97%
20170414-1831,98.71%
20170415-0321,98.97%
20170416-1140,98.71%
20170417-1557,98.45%
20170418-1502,87.60%
20170419-1148,88.11%
20170420-1136,88.11%
20170420-2332,92.51%
20170421-2347,90.70%
20170425-2028,82.56%
20170426-1845,0.00%
20170427-0019,96.98%
20170427-1137,98.71%
20170427-2246,98.71%
20170428-2244,98.71%
20170501-1648,98.97%
20170501-2233,98.71%
20170502-1143,0.00%
20170502-1849,98.71%
20170503-1201,97.92%
20170505-1712,98.45%
20170508-1439,97.93%
20170508-1928,98.19%
20170509-1446,98.97%
20170510-0346,98.97%
20170510-1456,98.97%
20170511-0003,98.97%
20170511-1156,98.97%
20170511-2244,98.71%
20170512-0348,97.67%
20170518-0016,97.42%
20170525-0405,97.67%
20170525-1144,97.67%
20170525-1853,97.67%
20170526-1848,95.27%
20170530-1839,97.67%
20170530-2242,97.42%
20170531-1447,97.67%
20170531-2244,97.67%
20170602-0038,97.42%
20170602-1945,97.16%
20170605-2301,97.42%
20170607-1845,97.67%
20170607-2239,97.42%
20170609-1842,97.42%
20170614-1904,97.42%
20170615-1442,97.67%
20170616-1836,97.42%
20170619-1835,97.16%
20170620-1444,97.16%
20170620-2019,97.42%
20170621-1446,90.65%
20170624-0346,97.42%
20170711-1231,97.42%
20170711-1834,97.67%
20170712-1432,97.42%
20170712-1825,97.67%
20170713-2231,97.67%
20170715-0335,97.67%
20170717-1835,97.67%
20170718-0342,97.67%
20170718-1139,97.67%
20170718-2237,97.67%
20170719-1138,97.67%
